   169/299     9.49G  0.007374  0.005408         0   0.01278         9      1376    0.9934    0.9967    0.9967    0.9103  0.009312    0.0159         0
   170/299     9.49G   0.00679  0.004868         0   0.01166         6      1376    0.9933    0.9967    0.9966    0.9104  0.009222   0.01577         0
   171/299     9.49G  0.007175  0.005365         0   0.01254         8      1376    0.9934    0.9967    0.9966    0.9058  0.009159   0.01573         0
   172/299     9.49G  0.006999   0.00543         0   0.01243        18      1376    0.9933    0.9967    0.9967    0.9086  0.009243   0.01582         0
   173/299     9.49G  0.006953  0.005235         0   0.01219         9      1376    0.9934    0.9967    0.9967    0.9069  0.009299    0.0158         0
   174/299     9.49G  0.006928  0.004898         0   0.01183        10      1376    0.9933    0.9967    0.9967    0.9036  0.009391   0.01582         0
   175/299     9.49G  0.006741  0.005006         0   0.01175         8      1376    0.9934    0.9967    0.9969    0.9068  0.009298   0.01596         0
   176/299     9.49G  0.006648  0.005005         0   0.01165        11      1376    0.9934    0.9967    0.9968    0.9091  0.009227     0.016         0
   177/299     9.49G  0.007049  0.005088         0   0.01214         3      1376    0.9934    0.9967    0.9965    0.9088  0.009198     0.016         0
   178/299     9.49G  0.006993  0.005333         0   0.01233         5      1376    0.9934    0.9967    0.9959    0.9048  0.009134   0.01604         0
   179/299     9.49G  0.006789  0.005015         0    0.0118         6      1376    0.9934    0.9967    0.9967    0.9075   0.00912   0.01617         0
   180/299     9.49G  0.007596  0.004871         0   0.01247        12      1376    0.9933    0.9967     0.996    0.9129  0.009083   0.01619         0
   181/299     9.49G  0.006822  0.005077         0    0.0119         6      1376    0.9933    0.9967    0.9966    0.9073  0.009036   0.01609         0
   182/299     9.49G  0.006857  0.005152         0   0.01201         5      1376    0.9934    0.9967    0.9962    0.9064  0.009035   0.01601         0
   183/299     9.49G  0.007948  0.005218         0   0.01317         4      1376    0.9934    0.9967    0.9969    0.9104   0.00902   0.01607         0
   184/299     9.49G  0.006795  0.005026         0   0.01182         9      1376    0.9934    0.9967    0.9968    0.9116  0.009073   0.01601         0
   185/299     9.49G   0.00678   0.00516         0   0.01194         4      1376    0.9933    0.9967    0.9968    0.9105  0.009054     0.016         0
   186/299     9.49G  0.008652   0.00508         0   0.01373         5      1376    0.9933    0.9967    0.9967    0.9129  0.009038   0.01598         0
   187/299     9.49G  0.006905  0.005254         0   0.01216        11      1376    0.9934    0.9967    0.9966    0.9076  0.009021   0.01602         0
   188/299     9.49G   0.00705  0.005325         0   0.01237         6      1376    0.9901    0.9967    0.9968    0.9102     0.009    0.0162         0
   189/299     9.49G  0.006741  0.005148         0   0.01189        10      1376    0.9933    0.9967    0.9968     0.907   0.00902   0.01615         0
   190/299     9.49G  0.006963  0.005413         0   0.01238        12      1376    0.9933    0.9967    0.9969    0.9101  0.009089   0.01614         0
   191/299     9.49G  0.007884  0.005051         0   0.01294         9      1376    0.9933    0.9967     0.997    0.9097  0.008996    0.0161         0
   192/299     9.49G  0.006744  0.004952         0    0.0117         5      1376    0.9934    0.9966     0.997    0.9066  0.008988   0.01625         0
   193/299     9.49G   0.00788  0.004842         0   0.01272         5      1376    0.9933    0.9967    0.9968    0.9059  0.009022   0.01638         0
   194/299     9.49G  0.007769  0.005066         0   0.01283         9      1376    0.9934    0.9967    0.9969    0.9074  0.009006   0.01639         0
   195/299     9.49G  0.007231  0.005354         0   0.01259        12      1376    0.9934    0.9967    0.9971    0.9083  0.008981   0.01626         0
   196/299     9.49G  0.006589    0.0048         0   0.01139         5      1376    0.9934    0.9967    0.9969    0.9046  0.009072   0.01635         0
   197/299     9.49G  0.006611  0.004935         0   0.01155         7      1376    0.9934    0.9967    0.9968    0.9085  0.009158   0.01641         0
   198/299     9.49G  0.006577  0.004935         0   0.01151        14      1376    0.9934    0.9967    0.9969    0.9111  0.009136   0.01642         0
   199/299     9.49G  0.006598  0.004699         0    0.0113        13      1376    0.9933    0.9967    0.9969    0.9095  0.009116   0.01639         0
   200/299     9.49G  0.006604  0.005207         0   0.01181        19      1376    0.9933    0.9967    0.9962     0.913  0.009063   0.01626         0
   201/299     9.49G  0.006741  0.005036         0   0.01178         6      1376    0.9934    0.9966    0.9963    0.9086  0.009021    0.0162         0
   202/299     9.49G  0.006437  0.004755         0   0.01119        11      1376    0.9934    0.9967    0.9968     0.908  0.009125   0.01633         0
   203/299     9.49G  0.006661  0.004799         0   0.01146        14      1376    0.9934    0.9967    0.9969    0.9117  0.009037    0.0163         0
   204/299     9.49G  0.006511  0.004827         0   0.01134        16      1376    0.9933    0.9967     0.997    0.9119  0.008984   0.01619         0
   205/299     9.49G  0.008626   0.00489         0   0.01352         7      1376    0.9934    0.9967    0.9971    0.9121  0.008948   0.01609         0
   206/299     9.49G  0.006776  0.005297         0   0.01207        11      1376    0.9933    0.9967    0.9971    0.9074  0.009008   0.01612         0
   207/299     9.49G  0.006558  0.004832         0   0.01139        12      1376    0.9934    0.9967     0.997    0.9099  0.008998   0.01624         0
   208/299     9.49G  0.007709  0.005243         0   0.01295        15      1376    0.9934    0.9967    0.9969    0.9115  0.008997   0.01628         0
   209/299     9.49G  0.006684  0.005051         0   0.01173        17      1376    0.9934    0.9967    0.9969    0.9139  0.009002   0.01631         0
   210/299     9.49G  0.006516  0.004773         0   0.01129         7      1376    0.9934    0.9967    0.9968    0.9055  0.008985   0.01637         0
   211/299     9.49G  0.006593  0.005083         0   0.01168        16      1376    0.9934    0.9967    0.9962    0.9095  0.008942   0.01622         0
   212/299     9.49G  0.006513  0.005088         0    0.0116         4      1376    0.9934    0.9967    0.9963    0.9109  0.008916   0.01625         0
   213/299     9.49G  0.006618  0.004935         0   0.01155        13      1376    0.9934    0.9967    0.9963    0.9137  0.008892   0.01631         0
   214/299     9.49G  0.006478  0.004759         0   0.01124         7      1376    0.9933    0.9967    0.9962    0.9135  0.008948   0.01653         0
   215/299     9.49G  0.008359  0.004715         0   0.01307         4      1376    0.9934    0.9967    0.9962    0.9118  0.008886   0.01656         0
   216/299     9.49G   0.00663  0.005046         0   0.01168        10      1376    0.9934    0.9967    0.9963    0.9131  0.008837   0.01647         0
   217/299     9.49G  0.006538  0.004714         0   0.01125         4      1376    0.9934    0.9967    0.9971    0.9137   0.00887   0.01642         0
   218/299     9.49G    0.0067  0.004994         0   0.01169         8      1376    0.9934    0.9967    0.9971     0.913  0.008917   0.01652         0
   219/299     9.49G  0.006594   0.00505         0   0.01164        13      1376    0.9933    0.9967     0.997     0.913  0.008964   0.01663         0
